,nickname,contents,datetime
146,sugs****,관람객나도 최면이 걸릴뻔....  ,2017-05-18 15:30:00
147,꺄르르를르(dand****),경찰차보고 욕했는데 차문 열리고나서 환호함ㅋㅋㅋ복선이  나중에 생각해보면 소름돋을정도로 잘 짜여져있네요  ,2017-05-19 23:43:00
148,Xfray(qodq****),모든 부분에서 영리하고 불편한 영화  ,2017-05-17 23:38:00
149,evey****,이게 첫 연출작이라고? 미친거 아님?  ,2017-05-18 21:11:00
150,제이케이(fbrm****),관람객소름돋도 무섭고 슬픈영화였다  ,2017-05-21 10:57:00
151,김소정(ksj9****),한국에서는 찾기 힘든 스릴러 무섭고 잔인한 것이 아닌 기괴함에서 오는 감정이입적 공포를 느낄 수 있다 아 예고편은 보지 마세요 난 스포 안 좋아하는 덕에 예고편 절대 안 보는데 영화 본 뒤에 보니까 이건 무슨 예고편이 아니라 축소편임  ,2017-05-26 21:09:00
152,마린시티(cred****),몰입도. 복선. 연기 모두 좋았던 스릴러물. 의리있던 남주인공 친구가 가장 감초같았던  ,2017-05-21 01:41:00
153,soot****,'스켈레톤키' 영화가 생각나는 영화네요.  ,2017-05-20 17:29:00
154,Jacob Frye(wrvj****),흑인을 건들이면 어떻게되는지 잘보여준 영화  ,2017-05-18 09:16:00
155,박준수(qkrw****), 오랜만에 영화 끝난후 쉽게 일어나지 못한것 같다.. 곡성 이후 신선한 충격 이었다 영화보는내내 긴장감과 몰입도 최고!!  ,2017-05-17 20:34:00
156,바빈스키(mesu****),"특별시민, 공조, 불한당 등등 한국 쓰레기영화보다 1000만배나음  ",2017-05-22 09:20:00
157,doud****,시간가는 줄 모르고 봤다. 확실히 재밌다고 말할 수 있는 영화.  ,2017-05-18 01:05:00
158,taeh****,내용이 매우 신선해요 재밋음  ,2017-05-17 21:23:00
159,쮸야(oasi****),연기를 못하는건가? 영화보는 내내 물음표가 생겼는데 와~~ 미친거 아님?  ,2017-05-17 02:48:00
160,호이짜(mari****),괜찮았다 자극적인 장면으로 떡칠된 공포영화보다 100배는 더 값어치있는 영화  ,2017-05-27 14:40:00
161,hyun****,관람객인종차별에 관한 내용인줄알았는데 우와~반전이...!초반부터 끝까지 긴장감있게 넘 재미있었음. 나중에 하인들 정체알고 소오름.  ,2017-05-20 22:57:00
162,강승언(ksu0****),애인의 집에 인사드리러 가는 걸 신중해야한다  ,2017-05-24 22:43:00
163,불타는감자(dlrl****),관람객 이렇게 스토리가 탄탄한 영화는 간만입니다 10점 드려요~!!  ,2017-05-29 18:35:00
164,6105****,미국판 곡성이라는데 곡성보다는 좀 무게감 없겠지만 저는 더 이해하기 쉬웠고 더 스릴있었어욥!  ,2017-05-23 22:36:00
165,mgjw****,최고네요 연출 음향 모든게 좋았고 식상하지 않은 새로운 공포 영화로 다가왔습니다 심오하고 괴기스럽고..많은 생각이 들기도 했고 역시나 사람이 제일로 무섭구나  ,2017-05-22 16:48:00
166,KKKKHCH(sain****),"신선한 스릴러, 매 씬마다 디테일이 살아있다. (무슨 결말 맞추기가 대단하다고 못맞춰야 재밌는 영화인가?  결말 다 맞췄다고 재미 없다고 하는 한심한 사람들 많네)  ",2017-05-22 12:47:00
167,젊은그대꿈(khss****),보는 사람들을 다 집중하게 만들면서 같이 깊게 빨아들였다가 확 놔주는 영화 같아  ,2017-05-18 13:53:00
168,키작은외계인(ljg1****),관람객예고편은 영화보기전에 절대 보지마세요.  ,2017-05-28 13:26:00
169,쟁반(pjy_****),너무너무재밌다..ㅠㅠ미쳣다 소름돋는다  ,2017-05-19 00:42:00
170,ds00****,관람객wow get out재밋엇어요  ,2017-05-18 00:16:00
171,여름지기(refa****),내가 흑인이면 백인이 진짜 잘해주더라도 뭔가 못믿겠다..  ,2017-05-22 23:32:00
172,손근찬(bond****),"그냥 최고, 킬링타임만 보는 사람들만 재미를 따지고 있는듯  ",2017-05-18 19:14:00
173,styl****,보는내내 심장벌렁!!어딜가나정신똑바로차리라는 영화인듯..  ,2017-05-18 21:46:00
174,유님(db38****),여자를 잘만나라. 여자를 잘못만났으면 친구라도 잘 만나라. ㅋㅋㅋ  ,2017-05-23 22:52:00
175,rain****,헤어나오지 못하고있네요 마치 나도 나와 격리된 최면에 걸린느낌..영화보고 이렇게 머리 전체가 띵한적은 없었는데 대단하네요. 굳. 이제 정신차려야지  ,2017-05-24 15:52:00
176,컴맹(your****),예고편 만든 사람 반성해야한다 진짜ㅡ 절대 예고편 보지마세요  ,2017-05-21 22:37:00
177,써미(tjay****),"영화에서 딱 한번 나왔던 ""겟 아웃"" 이라는 대사.영화가 끝나고 나야 고개가 끄덕여집니다.아.. 무서운영화치고 여운이 꽤 기네요..  ",2017-05-20 00:16:00
